ids,address.outcode,address.incode,soldPropertyType,propertySubType,analyticsProperty.propertyType,analyticsProperty.preOwned,analyticsProperty.added,analyticsProperty.ownership,tenure.tenureType,postcode,property_age
1,SE6,2DY,UNKNOWN,Apartment,,,,,LEASEHOLD,SE6 2DY,38.0
2,SE23,3XD,FLAT,Flat,,,,,LEASEHOLD,SE23 3XD,38.0
3,SE6,3EB,FLAT,Flat,,,,,LEASEHOLD,SE6 3EB,38.0
4,SW20,0UN,UNKNOWN,Apartment,,,,,LEASEHOLD,SW20 0UN,38.0
5,CR4,3PB,FLAT,Flat,Flats / Apartments,Resale,20201126.0,Non-shared ownership,LEASEHOLD,CR4 3PB,37.0
6,SW19,2FN,FLAT,Flat,,,,,LEASEHOLD,SW19 2FN,38.0
7,CR4,3BA,UNKNOWN,End of Terrace,Houses,Resale,20220704.0,Non-shared ownership,,CR4 3BA,37.0
89,CR4,3RH,FLAT,Flat,Flats / Apartments,Resale,20220330.0,Non-shared ownership,LEASEHOLD,CR4 3RH,37.0
9,CR4,3ND,FLAT,Flat,Flats / Apartments,Resale,20220315.0,Non-shared ownership,SHARE_OF_FREEHOLD,CR4 3ND,37.0
